H,W,Tempo,Tipo
1000,400,0.491757,parallel
1000,400,0.781058,serial
2000,400,1.027081,parallel
2000,400,2.191890,serial
3000,400,1.537700,parallel
3000,400,3.772294,serial
4000,400,1.976308,parallel
4000,400,4.891805,serial
5000,400,2.456127,parallel
5000,400,6.471690,serial
6000,400,3.198910,parallel
6000,400,8.099248,serial
7000,400,3.629121,parallel
7000,400,9.425241,serial
8000,400,3.998401,parallel
8000,400,11.663789,serial
9000,400,4.667919,parallel
9000,400,12.959497,serial
10000,400,5.074190,parallel
10000,400,15.436837,serial
11000,400,5.420801,parallel
11000,400,19.328606,serial
12000,400,7.028992,parallel
12000,400,20.051600,serial
13000,400,6.669847,parallel
13000,400,23.580141,serial
14000,400,6.955009,parallel
14000,400,28.296358,serial
15000,400,7.546187,parallel
15000,400,29.611359,serial
16000,400,8.160447,parallel
16000,400,38.648375,serial
17000,400,8.584280,parallel
17000,400,37.039288,serial
18000,400,9.217723,parallel
18000,400,41.109349,serial
19000,400,9.709456,parallel
19000,400,50.237697,serial
20000,400,11.199975,parallel
20000,400,68.483085,serial

